,GEOID,PVI,Formatted_District,state_fips,state,Senate Pred Dem Adjusted,Senate Pred GOP Adjusted
1667,610U800US47005,-13.955316982816317,TN-Sen-05,47,TN,0,1
1668,610U800US47006,-9.898123788538264,TN-Sen-06,47,TN,0,1
1669,610U800US47007,-5.884741812148439,TN-Sen-07,47,TN,0,1
1670,610U800US47008,-27.03204234446624,TN-Sen-08,47,TN,0,1
1671,610U800US47009,-18.557339594979997,TN-Sen-09,47,TN,0,1
1672,610U800US47010,-2.670031904743386,TN-Sen-10,47,TN,0,1
1673,610U800US47011,-8.919334602014397,TN-Sen-11,47,TN,0,1
1674,610U800US47012,-26.392810307370112,TN-Sen-12,47,TN,0,1
1675,610U800US47013,-18.79072442105021,TN-Sen-13,47,TN,0,1
1676,610U800US47014,-5.894091778768114,TN-Sen-14,47,TN,0,1
1677,610U800US47015,-23.028384759843977,TN-Sen-15,47,TN,0,1
1678,610U800US47016,-24.638799746877606,TN-Sen-16,47,TN,0,1
1679,610U800US47017,-10.755239251784424,TN-Sen-17,47,TN,0,1
1680,610U800US47018,-17.290771039141262,TN-Sen-18,47,TN,0,1
1681,610U800US47019,26.247331154711713,TN-Sen-19,47,TN,1,0
1682,610U800US47020,-0.16128531099203514,TN-Sen-20,47,TN,0,1
1683,610U800US47021,22.008600683494357,TN-Sen-21,47,TN,1,0
1684,610U800US47022,-4.571623489455458,TN-Sen-22,47,TN,0,1
1685,610U800US47023,-24.544497895575784,TN-Sen-23,47,TN,0,1
1686,610U800US47024,-26.51565574420873,TN-Sen-24,47,TN,0,1
1687,610U800US47025,-12.361287155495145,TN-Sen-25,47,TN,0,1
1688,610U800US47026,-19.30792858491521,TN-Sen-26,47,TN,0,1
1689,610U800US47027,-7.962491894308192,TN-Sen-27,47,TN,0,1
1690,610U800US47028,-18.834324876433325,TN-Sen-28,47,TN,0,1
1691,610U800US47029,31.100140088261217,TN-Sen-29,47,TN,1,0
1692,610U800US47030,22.556677205254545,TN-Sen-30,47,TN,1,0
1693,610U800US47031,-6.331996410697458,TN-Sen-31,47,TN,0,1
1694,610U800US47032,-4.801067489157106,TN-Sen-32,47,TN,0,1
1695,610U800US47033,41.298953623845215,TN-Sen-33,47,TN,1,0
1696,610U800US48001,-23.01400307685839,TX-Sen-01,48,TX,0,1
1697,610U800US48002,-9.74033895904054,TX-Sen-02,48,TX,0,1
1698,610U800US48003,-22.263388763074612,TX-Sen-03,48,TX,0,1
1699,610U800US48004,-16.622020942976512,TX-Sen-04,48,TX,0,1
1700,610U800US48005,-8.76261779282767,TX-Sen-05,48,TX,0,1
1701,610U800US48006,11.023613065771794,TX-Sen-06,48,TX,1,0
1702,610U800US48007,-9.398685996647659,TX-Sen-07,48,TX,0,1
1703,610U800US48008,-8.002080143101812,TX-Sen-08,48,TX,0,1
1704,610U800US48009,-1.980834676611197,TX-Sen-09,48,TX,0,1
1705,610U800US48010,-9.24784092225097,TX-Sen-10,48,TX,0,1
1706,610U800US48011,-10.926249065883983,TX-Sen-11,48,TX,0,1
1707,610U800US48012,-5.3598337609634275,TX-Sen-12,48,TX,0,1
1708,610U800US48013,22.88715568009055,TX-Sen-13,48,TX,1,0
1709,610U800US48014,15.256808544071768,TX-Sen-14,48,TX,1,0
1710,610U800US48015,9.12356938259259,TX-Sen-15,48,TX,1,0
1711,610U800US48016,13.292141029182538,TX-Sen-16,48,TX,1,0
1712,610U800US48017,-8.332800965248873,TX-Sen-17,48,TX,0,1
1713,610U800US48018,-13.149610058376997,TX-Sen-18,48,TX,0,1
1714,610U800US48019,-1.744868118263712,TX-Sen-19,48,TX,0,1
1715,610U800US48020,0.6198301971310336,TX-Sen-20,48,TX,1,0
1716,610U800US48021,4.003975098525684,TX-Sen-21,48,TX,1,0
1717,610U800US48022,-9.777822679726764,TX-Sen-22,48,TX,0,1
1718,610U800US48023,18.68323262596698,TX-Sen-23,48,TX,1,0
1719,610U800US48024,-9.893745938958926,TX-Sen-24,48,TX,0,1
1720,610U800US48025,-9.531630083484737,TX-Sen-25,48,TX,0,1
1721,610U800US48026,10.018494437206233,TX-Sen-26,48,TX,1,0
1722,610U800US48027,-4.000962567751756,TX-Sen-27,48,TX,0,1
