"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US10001,"State Representative District 1 (2022), Delaware",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",0.5,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",0.8,HOUSING OCCUPANCY,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",1,Total housing units,"12,517",+/-699,"12,517",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",2,Occupied housing units,"11,425",+/-730,91.3,+/-2.0
620L800US10001,"State Representative District 1 (2022), Delaware",3,Vacant housing units,"1,092",+/-239,8.7,+/-2.0
620L800US10001,"State Representative District 1 (2022), Delaware",3.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",4,Homeowner vacancy rate,0.7,+/-1.0,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",5,Rental vacancy rate,5.6,+/-3.1,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",5.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",5.5,UNITS IN STRUCTURE,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",6,Total housing units,"12,517",+/-699,"12,517",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",7,"1-unit, detached",945,+/-229,7.5,+/-1.9
620L800US10001,"State Representative District 1 (2022), Delaware",8,"1-unit, attached","5,274",+/-603,42.1,+/-4.5
620L800US10001,"State Representative District 1 (2022), Delaware",9,2 units,748,+/-281,6.0,+/-2.2
620L800US10001,"State Representative District 1 (2022), Delaware",10,3 or 4 units,945,+/-416,7.5,+/-3.2
620L800US10001,"State Representative District 1 (2022), Delaware",11,5 to 9 units,896,+/-251,7.2,+/-1.9
620L800US10001,"State Representative District 1 (2022), Delaware",12,10 to 19 units,590,+/-227,4.7,+/-1.8
620L800US10001,"State Representative District 1 (2022), Delaware",13,20 or more units,"3,095",+/-486,24.7,+/-3.7
620L800US10001,"State Representative District 1 (2022), Delaware",14,Mobile home,24,+/-33,0.2,+/-0.3
620L800US10001,"State Representative District 1 (2022), Delaware",15,"Boat, RV, van, etc.",0,+/-24,0.0,+/-0.3
620L800US10001,"State Representative District 1 (2022), Delaware",15.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",15.5,YEAR STRUCTURE BUILT,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",16,Total housing units,"12,517",+/-699,"12,517",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",17,Built 2020 or later,20,+/-28,0.2,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",18,Built 2010 to 2019,313,+/-170,2.5,+/-1.3
620L800US10001,"State Representative District 1 (2022), Delaware",19,Built 2000 to 2009,450,+/-206,3.6,+/-1.6
620L800US10001,"State Representative District 1 (2022), Delaware",20,Built 1990 to 1999,369,+/-160,2.9,+/-1.3
620L800US10001,"State Representative District 1 (2022), Delaware",21,Built 1980 to 1989,394,+/-151,3.1,+/-1.2
620L800US10001,"State Representative District 1 (2022), Delaware",22,Built 1970 to 1979,"1,176",+/-308,9.4,+/-2.5
620L800US10001,"State Representative District 1 (2022), Delaware",23,Built 1960 to 1969,"1,813",+/-553,14.5,+/-4.2
620L800US10001,"State Representative District 1 (2022), Delaware",24,Built 1950 to 1959,"2,070",+/-434,16.5,+/-3.5
620L800US10001,"State Representative District 1 (2022), Delaware",25,Built 1940 to 1949,"1,682",+/-451,13.4,+/-3.4
620L800US10001,"State Representative District 1 (2022), Delaware",26,Built 1939 or earlier,"4,230",+/-534,33.8,+/-4.1
620L800US10001,"State Representative District 1 (2022), Delaware",26.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",26.5,ROOMS,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",27,Total housing units,"12,517",+/-699,"12,517",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",28,1 room,844,+/-493,6.7,+/-3.8
620L800US10001,"State Representative District 1 (2022), Delaware",29,2 rooms,378,+/-322,3.0,+/-2.5
620L800US10001,"State Representative District 1 (2022), Delaware",30,3 rooms,"2,340",+/-372,18.7,+/-3.0
620L800US10001,"State Representative District 1 (2022), Delaware",31,4 rooms,"1,962",+/-433,15.7,+/-3.6
620L800US10001,"State Representative District 1 (2022), Delaware",32,5 rooms,"1,257",+/-340,10.0,+/-2.7
620L800US10001,"State Representative District 1 (2022), Delaware",33,6 rooms,"2,765",+/-453,22.1,+/-3.4
620L800US10001,"State Representative District 1 (2022), Delaware",34,7 rooms,"1,475",+/-361,11.8,+/-2.9
620L800US10001,"State Representative District 1 (2022), Delaware",35,8 rooms,716,+/-197,5.7,+/-1.5
620L800US10001,"State Representative District 1 (2022), Delaware",36,9 rooms or more,780,+/-232,6.2,+/-1.9
620L800US10001,"State Representative District 1 (2022), Delaware",37,Median rooms,5.1,+/-0.4,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",37.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",37.5,BEDROOMS,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",38,Total housing units,"12,517",+/-699,"12,517",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",39,No bedroom,944,+/-500,7.5,+/-3.8
620L800US10001,"State Representative District 1 (2022), Delaware",40,1 bedroom,"3,183",+/-545,25.4,+/-4.3
620L800US10001,"State Representative District 1 (2022), Delaware",41,2 bedrooms,"2,641",+/-503,21.1,+/-3.9
620L800US10001,"State Representative District 1 (2022), Delaware",42,3 bedrooms,"4,589",+/-606,36.7,+/-4.6
620L800US10001,"State Representative District 1 (2022), Delaware",43,4 bedrooms,843,+/-205,6.7,+/-1.7
620L800US10001,"State Representative District 1 (2022), Delaware",44,5 or more bedrooms,317,+/-124,2.5,+/-1.0
620L800US10001,"State Representative District 1 (2022), Delaware",44.3,,,,,
