"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US34001,"State Senate District 01 (2022), New Jersey",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",0.5,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",0.8,HOUSING OCCUPANCY,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",1,Total housing units,"152,355",+/-840,"152,355",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",2,Occupied housing units,"89,884","+/-1,100",59.0,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",3,Vacant housing units,"62,471",+/-906,41.0,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",3.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",4,Homeowner vacancy rate,2.3,+/-0.4,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",5,Rental vacancy rate,17.2,+/-1.6,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",5.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",5.5,UNITS IN STRUCTURE,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",6,Total housing units,"152,355",+/-840,"152,355",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",7,"1-unit, detached","86,563","+/-1,309",56.8,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",8,"1-unit, attached","31,038","+/-1,012",20.4,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",9,2 units,"9,154",+/-759,6.0,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",10,3 or 4 units,"4,758",+/-467,3.1,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",11,5 to 9 units,"4,294",+/-564,2.8,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",12,10 to 19 units,"2,881",+/-434,1.9,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",13,20 or more units,"7,276",+/-632,4.8,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",14,Mobile home,"6,389",+/-561,4.2,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",15,"Boat, RV, van, etc.",2,+/-4,0.0,+/-0.1
610U800US34001,"State Senate District 01 (2022), New Jersey",15.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",15.5,YEAR STRUCTURE BUILT,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",16,Total housing units,"152,355",+/-840,"152,355",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",17,Built 2020 or later,247,+/-119,0.2,+/-0.1
610U800US34001,"State Senate District 01 (2022), New Jersey",18,Built 2010 to 2019,"7,520",+/-638,4.9,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",19,Built 2000 to 2009,"21,716","+/-1,108",14.3,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",20,Built 1990 to 1999,"14,189",+/-912,9.3,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",21,Built 1980 to 1989,"22,278",+/-808,14.6,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",22,Built 1970 to 1979,"21,235",+/-980,13.9,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",23,Built 1960 to 1969,"15,574",+/-950,10.2,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",24,Built 1950 to 1959,"17,700","+/-1,052",11.6,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",25,Built 1940 to 1949,"8,523",+/-796,5.6,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",26,Built 1939 or earlier,"23,373",+/-938,15.3,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",26.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",26.5,ROOMS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",27,Total housing units,"152,355",+/-840,"152,355",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",28,1 room,"3,013",+/-486,2.0,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",29,2 rooms,"2,962",+/-445,1.9,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",30,3 rooms,"9,866",+/-721,6.5,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",31,4 rooms,"23,482","+/-1,222",15.4,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",32,5 rooms,"31,299","+/-1,382",20.5,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",33,6 rooms,"29,504","+/-1,097",19.4,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",34,7 rooms,"21,107","+/-1,112",13.9,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",35,8 rooms,"13,292",+/-762,8.7,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",36,9 rooms or more,"17,830",+/-920,11.7,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",37,Median rooms,5.7,+/-0.1,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",37.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",37.5,BEDROOMS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",38,Total housing units,"152,355",+/-840,"152,355",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",39,No bedroom,"3,272",+/-503,2.1,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",40,1 bedroom,"12,551",+/-720,8.2,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",41,2 bedrooms,"33,966","+/-1,390",22.3,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",42,3 bedrooms,"62,240","+/-1,693",40.9,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",43,4 bedrooms,"30,216","+/-1,140",19.8,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",44,5 or more bedrooms,"10,110",+/-623,6.6,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",44.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",44.5,HOUSING TENURE,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",45,Occupied housing units,"89,884","+/-1,100","89,884",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",46,Owner-occupied,"64,345","+/-1,170",71.6,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",47,Renter-occupied,"25,539","+/-1,052",28.4,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",47.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",48,Average household size of owner-occupied unit,2.48,+/-0.04,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",49,Average household size of renter-occupied unit,2.51,+/-0.08,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",49.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",50,Occupied housing units,"89,884","+/-1,100","89,884",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",51,Moved in 2019 or later,"6,483",+/-650,7.2,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",52,Moved in 2015 to 2018,"22,024","+/-1,048",24.5,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",53,Moved in 2010 to 2014,"14,124",+/-841,15.7,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",54,Moved in 2000 to 2009,"20,779","+/-1,136",23.1,+/-1.3
610U800US34001,"State Senate District 01 (2022), New Jersey",55,Moved in 1990 to 1999,"12,219",+/-904,13.6,+/-1.0
610U800US34001,"State Senate District 01 (2022), New Jersey",56,Moved in 1989 and earlier,"14,255",+/-685,15.9,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",56.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",56.5,VEHICLES AVAILABLE,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",57,Occupied housing units,"89,884","+/-1,100","89,884",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",58,No vehicles available,"7,761",+/-766,8.6,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",59,1 vehicle available,"30,976","+/-1,287",34.5,+/-1.4
610U800US34001,"State Senate District 01 (2022), New Jersey",60,2 vehicles available,"33,140","+/-1,213",36.9,+/-1.3
610U800US34001,"State Senate District 01 (2022), New Jersey",61,3 or more vehicles available,"18,007",+/-979,20.0,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",61.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",61.5,HOUSE HEATING FUEL,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",62,Occupied housing units,"89,884","+/-1,100","89,884",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",63,Utility gas,"58,965","+/-1,354",65.6,+/-1.2
610U800US34001,"State Senate District 01 (2022), New Jersey",64,"Bottled, tank, or LP gas","4,569",+/-445,5.1,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",65,Electricity,"13,627",+/-870,15.2,+/-1.0
610U800US34001,"State Senate District 01 (2022), New Jersey",66,"Fuel oil, kerosene, etc.","10,376",+/-852,11.5,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",67,Coal or coke,29,+/-34,0.0,+/-0.1
610U800US34001,"State Senate District 01 (2022), New Jersey",68,Wood,927,+/-238,1.0,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",69,Solar energy,245,+/-97,0.3,+/-0.1
610U800US34001,"State Senate District 01 (2022), New Jersey",70,Other fuel,764,+/-148,0.8,+/-0.2
610U800US34001,"State Senate District 01 (2022), New Jersey",71,No fuel used,382,+/-133,0.4,+/-0.1
610U800US34001,"State Senate District 01 (2022), New Jersey",71.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",71.5,SELECTED CHARACTERISTICS,,,,
