"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US08001,"State Senate District 1 (2022), Colorado",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",0.5,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",1,Total households,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",2,Married-couple household,"34,408",+/-800,58.2,+/-1.3
610U800US08001,"State Senate District 1 (2022), Colorado",3,With children of the householder under 18 years,"14,315",+/-666,24.2,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",4,Cohabiting couple household,"3,262",+/-368,5.5,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",5,With children of the householder under 18 years,"1,158",+/-301,2.0,+/-0.5
610U800US08001,"State Senate District 1 (2022), Colorado",6,"Male householder, no spouse/partner present","9,207",+/-709,15.6,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",7,With children of the householder under 18 years,788,+/-188,1.3,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",8,Householder living alone,"6,720",+/-630,11.4,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",9,65 years and over,"2,047",+/-256,3.5,+/-0.4
610U800US08001,"State Senate District 1 (2022), Colorado",10,"Female householder, no spouse/partner present","12,283",+/-691,20.8,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",11,With children of the householder under 18 years,"2,110",+/-310,3.6,+/-0.5
610U800US08001,"State Senate District 1 (2022), Colorado",12,Householder living alone,"7,659",+/-478,12.9,+/-0.8
610U800US08001,"State Senate District 1 (2022), Colorado",13,65 years and over,"4,578",+/-364,7.7,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",13.3,,,,,
